doctor_name,specialization,qualification,years_of_experience,clinic_or_hospital,city,locality,consultation_fee_inr,phone,email,availability_days,rating,languages_spoken,consultation_type
Dr. Dilip Prabhavalkar,General Physician,MBBS,40,Prabhavalkar Clinic,Kolhapur,Rajarampuri,300,9777777777,dilip.p@clinic.in,Mon-Sat,5.0,"Marathi, English",In-person
Dr. Sonali Bendre,Dermatologist,"MBBS, MD",15,Bendre Skin Clinic,Kolhapur,Tarabai Park,800,9888888888,sonali.b@skin.in,Mon-Fri,4.7,"Marathi, Hindi, English",Both
Dr. Riteish Deshmukh,Orthopedic,"MBBS, MS",13,Deshmukh Ortho Hospital,Kolhapur,Shahupuri,700,9999999999,riteish.d@ortho.in,Mon-Sat,4.6,"Marathi, Hindi",In-person
Dr. Genelia Dsouza,Pediatrician,"MBBS, MD",10,Dsouza Kids Care,Kolhapur,Laxmipuri,500,9011111111,genelia.d@kids.in,Mon-Sat,4.8,"English, Hindi, Marathi",Both
Dr. Mahesh Manjrekar,General Surgeon,"MBBS, MS",22,Manjrekar Surgical,Kolhapur,Kawala Naka,850,9122222222,mahesh.m@surgical.in,Mon-Fri,4.5,"Marathi, Hindi",In-person
Dr. Sunil Shetty,Cardiologist,"MBBS, MD, DM",21,Shetty Heart Hospital,Navi Mumbai,Vashi,1500,9233333333,sunil.s@heart.in,Mon-Sat,4.9,"Hindi, English, Tulu",Both
Dr. Shilpa Shetty,Dermatologist,"MBBS, MD",16,Shilpa Skin Studio,Navi Mumbai,Nerul,1200,9344444444,shilpa.s@skin.in,Mon-Fri,4.7,"Hindi, English",Both
Dr. John Abraham,Physiotherapist,BPT,12,Abraham Fitness & Rehab,Navi Mumbai,Belapur,800,9455555555,john.a@rehab.in,Mon-Sat,4.8,"English, Hindi",In-person
Dr. Vidya Balan,Gynecologist,"MBBS, MS",18,Balan Women Clinic,Navi Mumbai,Kopar Khairane,1000,9566666666,vidya.b@women.in,Mon-Sat,4.6,"Hindi, Marathi",In-person
Dr. Ayushmann Khurrana,ENT Specialist,"MBBS, MS",9,Khurrana ENT Center,Navi Mumbai,Airoli,700,9677777777,ayush.k@ent.in,Mon-Sat,4.5,"Hindi, Punjabi, English",Both
